FUNVTA_VTAR5040.SCX                                          ReporteAnualArticuloClienteMoneda
ADM_USUARIOS.SCX                                             Base_form1
ALMPTSAL.SCX                                                 frsAlmptsal1
VTA_VTAR5050.SCX                                             ReporteVentasClienteFamilia
CCB_CCBR4300.SCX                                             ReporteSituacionDocumentos
CCB_TRASLADO_FPD26.SCX                                       TrasladoFpd26_VFP
BASCULA.SCX                                                  Frmbascula
CBDCNFG0.SCX                                                 frsCbdcnfg01
CBDMPRES.SCX                                                 frsCbdmpres1
CBDRPRES.SCX                                                 frsCbdrpres1
CBD_CBDCNFG1.SCX                                             NivelesCuenta
CBD_CBDFLPDT.SCX                                             FormulariosPDT
CBD_CBDGANPE.SCX                                             GananciaPerdidaNiveles
CBD_CBDGCONS.SCX                                             ConsistenciaMovimientos
CBD_CBDMAUXI.SCX                                             CuentasAuxiliares
CBD_CBDMOPER.SCX                                             OperacionesContables
CBD_CBDMTABL.SCX                                             TablasSistemaContable
CBD_CBDORDEN.SCX                                             OrdenEEFFNiveles
CBD_CBDPPRES.SCX                                             CuentasPresupuestales
CBD_CBDRB001.SCX                                             ReporteBalanceGeneralMensual
CBD_CBDRB002.SCX                                             ReporteEstadoFinancieroBalanceGeneral
CBD_CBDRB003.SCX                                             ReporteBalanceGeneralAcumulado
CBD_CBDRB004.SCX                                             ReporteBalanceSituacion
CBD_CBDRB007.SCX                                             ReporteAnexosBalance
CBD_CBDRB009.SCX                                             ReporteEstadosGestionPorMes
CBD_CBDRBV10.SCX                                             ReporteEstadoGestionGeneral
CBD_CBDRC002.SCX                                             ReporteCuentasPendiestesCuenta
CBD_CBDRC003.SCX                                             ReporteAnalisisCuentaCorriente
CBD_CBDRC004.SCX                                             ReporteCuentasPendienteAuxiliar
CBD_CBDRGCONS.SCX                                            Base_form1
CBD_CBDRL004.SCX                                             ReporteMayorAuxiliarResumen
CBD_CBDRL005.SCX                                             ReporteMayorAnalitico
CBD_CBDRPLAN.SCX                                             ReporteRevisionPlanCuentas
CBD_CBDTBALC.SCX                                             ConfiguracionBalances
CBD_DIARIOGENERAL.SCX                                        DiarioGeneral
CBD_CIERRE_DE_OPERACIONES.SCX                                cbd_cierre_de_operaciones
CBD_CIERRE_MENSUAL.SCX                                       CierreMes
CBD_CJARG005.SCX                                             ReporteEstadoLiquidez
FUNVTA_VTAR4520.SCX                                          ReporteVentasArticuloCliente
CBD_DIARIOGENERAL_ANT.SCX                                    cbd_diariogeneral
CBD_MAESTRO_DE_CUENTAS.SCX                                   PlanCuentas
CBD_PLAN_DE_CUENTAS.SCX                                      ReportePlanCuentas
CBD_REAPERTURA_DE_MES.SCX                                    ReaperturaMes
CBD_RECLASIFICA_DATOS.SCX                                    ReclasificacionDatosDiarioGeneral
CBD_REGENERACION_DE_SALDOS.SCX                               regeneracionsaldoscontables
CBD_REPORT_BALANCE_DE_CUENTAS.SCX                            reportebalancecuentas
CBD_REPORT_CUENTAS_AUXILIARES.SCX                            Base_form1
CBD_REPORT_DIARIO_GENERAL.SCX                                ReporteDiarioGeneralOperacion
CBD_REPORT_LIBRO_MAYOR_AUXILIAR.SCX                          ReporteLibroMayorAuxiliar
CBD_REPORT_REGISTRO_COMPRAS.SCX                              ReporteLibroCompras
CBD_REPORT_REGISTRO_RETENCIONES.SCX                          ReporteLibroRetenciones
CBD_REPORT_REGISTRO_VENTAS.SCX                               ReporteLibroVentas
CBD_REPORT_RESUMEN_MAYOR_AUXILIAR.SCX                        ReporteResumenMayorAuxiliar
CBD_REPORT_SALDO_DE_CUENTA.SCX                               ReporteSaldosCuenta
CCB_CCBR4100.SCX                                             ReporteSaldosCliente
CCB_CCBR4200.SCX                                             ReporteDocumentosPendientesCliente
FUNFUN_SELEC_CONTAB.SCX                                      LoginContab
CCB_CCBTCONC_NC.SCX                                          ConceptosNotasCredito
